,0.7_4,0.7_24,0.7_72,3.7_4,3.7_24,3.7_72
Rv0102,,-1.139193044,,-1.256153246,-2.931935652,-1.641693488
Rv0103c,,-1.581384918,-1.482012654,-1.835967105,-2.599256924,-2.320365472
Rv0104,,-1.725029052,-3.504597264,,,-3.332889306
Rv0105c,,,,,,
Rv0106,,,,,1.14362879,
Rv0107c,,,-1.138230062,,-1.083753751,-1.8462479
Rv0108c,,-1.775259032,-3.178177417,,,-4.098125203
Rv0109,,,,,,
Rv0110,,-1.696755043,-1.055972621,,-1.58996767,-1.754803167
Rv0111,,-1.724188753,-1.377788351,-1.029697902,-3.889009839,-3.013262514
Rv0112,,,,,,
Rv0113,,,,,,-1.082532354
Rv0114,,,,-1.096223709,,
Rv0115,,,,-1.415870643,-2.154320609,-1.090133712
Rv0116c,,-1.081617161,-1.307411431,,,
Rv0117,,,,3.78550075,3.25869901,1.312142797
Rv0118c,,-1.40708377,-2.509884073,,-2.331235374,-3.306524132
Rv0119,,,-1.6772829,,,-1.021432508
Rv0120c,,-1.100762591,-1.802346872,,-1.034933268,-2.374823422
Rv0121c,,-1.782213398,-1.442387378,,-2.008028816,
Rv0122,,,,1.156943617,2.280488743,
Rv0123,,,,,1.94897135,
Rv0124,,,1.113224606,,3.540390347,3.226974509
Rv0125,,,,1.825343326,1.301824183,
Rv0126,,,,,,
Rv0127,-1.216842958,-1.442909559,-1.261303434,-1.751944995,-2.556009167,-2.634506472
Rv0128,,,,,,
Rv0129c,-1.136059654,,,,-2.962797353,-2.957548447
Rv0130,,-1.265348582,,,,
Rv0131c,,-1.307564241,-1.554831937,,,
Rv0132c,,,-1.562941037,,,
Rv0133,,-1.370433206,,,-1.154663649,
Rv0134,,-1.489699366,-1.056796459,,-1.822191641,-1.041445972
Rv0135c,,,,1.115546648,1.344647808,
Rv0136,,,-1.178479229,1.403509397,2.030309412,
Rv0137c,,,,,,
Rv0138,,-1.288294957,,,,
Rv0139,,-1.793922042,-1.691193005,-1.444545045,-2.02232397,-1.081818127
Rv0140,,,,,,1.857311147
Rv0141c,,-1.374510744,-1.577187913,,-1.4488167,-2.692569399
Rv0142,,,-1.406385013,,2.112976183,1.904371938
Rv0143c,,-1.30985003,-1.334190253,-1.180157362,-1.641263381,-1.072814284
Rv0144,,-1.049429141,-1.549286244,,-1.679328069,-2.727865076
Rv0145,,,,1.264272945,,
Rv0146,,,,,,1.986677867
Rv0147,,-1.111273634,-1.032561552,,,
Rv0148,,-1.518859251,-1.169311639,-1.050459639,,
Rv0149,,-1.427463077,,-1.709106953,-1.647100044,
Rv0150c,,-1.07329287,,,,
Rv0151c,,-1.761317589,-1.541506421,,-2.19833379,
Rv0152c,,,,,,
Rv0153c,,-1.169574475,,-2.053962453,-2.912908213,-1.991682581
Rv0154c,,-1.431030128,-1.141978039,-1.145004182,-1.719057384,-1.023338083
Rv0155,,,,,-1.339833527,-1.341579329
Rv0156,,-1.174322981,,,-1.994219087,-1.664223179
Rv0157,,-1.236191779,,-1.770160792,-2.385178371,-2.251969844
Rv0157A,,,-1.091945661,2.221452492,,-2.348617222
